time,dgfs,darome,dicon7,dir,temp
2025-12-06 20:00:00,1.1,0.1,0.8,155,11.0
2025-12-06 21:00:00,0.3,0.8,0.2,156,10.6
2025-12-06 23:00:00,2.0,0.6,1.5,187,10.3
2025-12-07 00:00:00,0.8,0.6,0.4,238,10.5
2025-12-07 05:00:00,0.9,0.6,0.1,180,10.4
2025-12-08 19:00:00,1.8,0.2,0.5,228,12.3
2025-12-08 22:00:00,2.5,1.5,1.0,187,10.8
2025-12-07 06:00:00,2.6,0.7,1.2,20,9.5
2025-12-07 08:00:00,3.2,0.4,0.8,287,10.6
2025-12-07 09:00:00,2.8,0.0,1.0,317,13.0
2025-12-07 11:00:00,0.7,1.0,0.3,287,17.1
2025-12-07 12:00:00,1.9,1.4,0.7,255,16.5
2025-12-07 14:00:00,3.6,3.1,4.1,306,16.8
2025-12-07 15:00:00,2.7,3.5,4.6,262,16.0
2025-12-07 17:00:00,2.6,3.4,0.5,75,13.0
2025-12-07 18:00:00,3.6,3.9,1.1,70,11.2
2025-12-07 20:00:00,3.5,0.5,1.9,66,11.4
2025-12-07 21:00:00,2.9,0.2,2.1,67,11.5
2025-12-07 23:00:00,2.2,0.0,2.2,69,11.0
2025-12-08 00:00:00,2.4,0.2,2.3,82,10.4
2025-12-08 02:00:00,2.7,0.1,2.2,75,10.4
2025-12-08 03:00:00,3.2,0.1,2.1,84,9.9
2025-12-08 05:00:00,2.9,0.1,2.0,92,10.0
2025-12-09 01:00:00,2.4,1.5,0.7,203,10.9
2025-12-09 04:00:00,1.8,1.1,0.7,185,10.1
2025-12-09 07:00:00,0.5,2.8,1.2,222,8.5
2025-12-09 10:00:00,0.0,3.3,0.9,217,9.4
2025-12-08 06:00:00,2.7,0.1,1.9,75,9.9
2025-12-10 04:00:00,3.1,0.4,1.3,170,10.4
2025-12-08 08:00:00,2.0,0.1,1.6,85,11.8
2025-12-08 09:00:00,0.7,0.9,0.6,210,14.5
2025-12-08 11:00:00,2.0,3.4,2.0,213,15.9
2025-12-08 12:00:00,1.3,3.8,1.7,228,16.3
2025-12-10 07:00:00,2.7,0.8,0.5,174,10.4
2025-12-10 10:00:00,2.6,3.0,1.2,222,14.0
2025-12-08 17:00:00,4.6,2.1,3.3,191,12.3
2025-12-08 18:00:00,2.4,1.3,0.3,237,12.7
2025-12-08 20:00:00,0.8,2.3,0.6,231,12.2
2025-12-08 21:00:00,2.8,1.0,1.2,205,11.0
2025-12-08 23:00:00,2.0,1.2,0.6,181,10.9
2025-12-09 00:00:00,2.1,1.4,0.8,179,10.8
